Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Super Kings,KKR,Super Kings,2 runs,Chennai,"Apr 8, 2011",T20
Chargers,Royals,Royals,8 wickets,Hyderabad (Deccan),"Apr 9, 2011",T20
Kochi,RCB,RCB,6 wickets,Kochi,"Apr 9, 2011",T20
Daredevils,Mum Indians,Mum Indians,8 wickets,Delhi,"Apr 10, 2011",T20
Warriors,Kings XI,Warriors,7 wickets,Mumbai,"Apr 10, 2011",T20
KKR,Chargers,KKR,9 runs,Kolkata,"Apr 11, 2011",T20
Royals,Daredevils,Royals,6 wickets,Jaipur,"Apr 12, 2011",T20
RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,"Apr 12, 2011",T20
Kings XI,Super Kings,Kings XI,6 wickets,Mohali,"Apr 13, 2011",T20
Warriors,Kochi,Warriors,4 wickets,Mumbai,"Apr 13, 2011",T20
Chargers,RCB,Chargers,33 runs,Hyderabad (Deccan),"Apr 14, 2011",T20
Royals,KKR,KKR,9 wickets,Jaipur,"Apr 15, 2011",T20
Mum Indians,Kochi,Kochi,8 wickets,Mumbai,"Apr 15, 2011",T20
Super Kings,RCB,Super Kings,21 runs,Chennai,"Apr 16, 2011",T20
Chargers,Kings XI,Kings XI,8 wickets,Hyderabad (Deccan),"Apr 16, 2011",T20
Warriors,Daredevils,Daredevils,3 wickets,Mumbai,"Apr 17, 2011",T20
KKR,Royals,KKR,8 wickets,Kolkata,"Apr 17, 2011",T20
Kochi,Super Kings,Kochi,7 wickets,Kochi,"Apr 18, 2011",T20
Daredevils,Chargers,Chargers,16 runs,Delhi,"Apr 19, 2011",T20
RCB,Royals,abandoned,,Bengaluru,"Apr 19, 2011",T20
Mum Indians,Warriors,Mum Indians,7 wickets,Mumbai,"Apr 20, 2011",T20
KKR,Kochi,Kochi,6 runs,Kolkata,"Apr 20, 2011",T20
Kings XI,Royals,Kings XI,48 runs,Mohali,"Apr 21, 2011",T20
KKR,RCB,RCB,9 wickets,Kolkata,"Apr 22, 2011",T20
Mum Indians,Super Kings,Mum Indians,8 runs,Mumbai,"Apr 22, 2011",T20
Daredevils,Kings XI,Daredevils,29 runs,Delhi,"Apr 23, 2011",T20
Chargers,Mum Indians,Mum Indians,37 runs,Hyderabad (Deccan),"Apr 24, 2011",T20
Royals,Kochi,Royals,8 wickets,Jaipur,"Apr 24, 2011",T20
Super Kings,Warriors,Super Kings,25 runs,Chennai,"Apr 25, 2011",T20
Daredevils,RCB,RCB,3 wickets,Delhi,"Apr 26, 2011",T20
Warriors,Super Kings,Super Kings,8 wickets,Mumbai,"Apr 27, 2011",T20
Kochi,Chargers,Chargers,55 runs,Kochi,"Apr 27, 2011",T20
Daredevils,KKR,KKR,17 runs,Delhi,"Apr 28, 2011",T20
Royals,Mum Indians,Royals,7 wickets,Jaipur,"Apr 29, 2011",T20
RCB,Warriors,RCB,26 runs,Bengaluru,"Apr 29, 2011",T20
Kochi,Daredevils,Daredevils,38 runs,Kochi,"Apr 30, 2011",T20
KKR,Kings XI,KKR,8 wickets,Kolkata,"Apr 30, 2011",T20
Royals,Warriors,Royals,6 wickets,Jaipur,"May 1, 2011",T20
Super Kings,Chargers,Super Kings,19 runs,Chennai,"May 1, 2011",T20
Mum Indians,Kings XI,Mum Indians,23 runs,Mumbai,"May 2, 2011",T20
Daredevils,Kochi,Kochi,7 wickets,Delhi,"May 2, 2011",T20
Chargers,KKR,KKR,20 runs,Hyderabad (Deccan),"May 3, 2011",T20
Super Kings,Royals,Super Kings,8 wickets,Chennai,"May 4, 2011",T20
Warriors,Mum Indians,Mum Indians,21 runs,Mumbai,"May 4, 2011",T20
Kochi,KKR,Kochi,17 runs,Kochi,"May 5, 2011",T20
Chargers,Daredevils,Daredevils,4 wickets,Hyderabad (Deccan),"May 5, 2011",T20
RCB,Kings XI,RCB,85 runs,Bengaluru,"May 6, 2011",T20
KKR,Super Kings,KKR,10 runs,Kolkata,"May 7, 2011",T20
Mum Indians,Daredevils,Mum Indians,32 runs,Mumbai,"May 7, 2011",T20
RCB,Kochi,RCB,9 wickets,Bengaluru,"May 8, 2011",T20
Kings XI,Warriors,Warriors,5 wickets,Mohali,"May 8, 2011",T20
Royals,Super Kings,Super Kings,63 runs,Jaipur,"May 9, 2011",T20
Chargers,Warriors,Warriors,6 wickets,Hyderabad (Deccan),"May 10, 2011",T20
Kings XI,Mum Indians,Kings XI,76 runs,Mohali,"May 10, 2011",T20
Royals,RCB,RCB,9 wickets,Jaipur,"May 11, 2011",T20
Super Kings,Daredevils,Super Kings,18 runs,Chennai,"May 12, 2011",T20
Kochi,Kings XI,Kings XI,6 wickets,Indore,"May 13, 2011",T20
RCB,KKR,RCB,4 wickets,Bengaluru,"May 14, 2011",T20
Mum Indians,Chargers,Chargers,10 runs,Mumbai,"May 14, 2011",T20
Kings XI,Daredevils,Kings XI,29 runs,Dharamsala,"May 15, 2011",T20
Kochi,Royals,Kochi,8 wickets,Indore,"May 15, 2011",T20
Warriors,Chargers,Chargers,6 wickets,Mumbai,"May 16, 2011",T20
Kings XI,RCB,Kings XI,111 runs,Dharamsala,"May 17, 2011",T20
Super Kings,Kochi,Super Kings,11 runs,Chennai,"May 18, 2011",T20
Warriors,KKR,KKR,7 wickets,Mumbai,"May 19, 2011",T20
Mum Indians,Royals,Royals,10 wickets,Mumbai,"May 20, 2011",T20
Kings XI,Chargers,Chargers,82 runs,Dharamsala,"May 21, 2011",T20
Daredevils,Warriors,no result,,Delhi,"May 21, 2011",T20
RCB,Super Kings,RCB,8 wickets,Bengaluru,"May 22, 2011",T20
KKR,Mum Indians,Mum Indians,5 wickets,Kolkata,"May 22, 2011",T20
RCB,Super Kings,Super Kings,6 wickets,Mumbai,"May 24, 2011",T20
KKR,Mum Indians,Mum Indians,4 wickets,Mumbai,"May 25, 2011",T20
RCB,Mum Indians,RCB,43 runs,Chennai,"May 27, 2011",T20
Super Kings,RCB,Super Kings,58 runs,Chennai,"May 28, 2011",T20
