Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Mum Indians,KKR,KKR,41 runs,Abu Dhabi,"Apr 16, 2014",T20
Daredevils,RCB,RCB,8 wickets,Sharjah,"Apr 17, 2014",T20
Super Kings,Kings XI,Kings XI,6 wickets,Abu Dhabi,"Apr 18, 2014",T20
Sunrisers,Royals,Royals,4 wickets,Abu Dhabi,"Apr 18, 2014",T20
RCB,Mum Indians,RCB,7 wickets,Dubai (DSC),"Apr 19, 2014",T20
KKR,Daredevils,Daredevils,4 wickets,Dubai (DSC),"Apr 19, 2014",T20
Royals,Kings XI,Kings XI,7 wickets,Sharjah,"Apr 20, 2014",T20
Super Kings,Daredevils,Super Kings,93 runs,Abu Dhabi,"Apr 21, 2014",T20
Kings XI,Sunrisers,Kings XI,72 runs,Sharjah,"Apr 22, 2014",T20
Royals,Super Kings,Super Kings,7 runs,Dubai (DSC),"Apr 23, 2014",T20
RCB,KKR,KKR,2 runs,Sharjah,"Apr 24, 2014",T20
Sunrisers,Daredevils,Sunrisers,4 runs,Dubai (DSC),"Apr 25, 2014",T20
Super Kings,Mum Indians,Super Kings,7 wickets,Dubai (DSC),"Apr 25, 2014",T20
Royals,RCB,Royals,6 wickets,Abu Dhabi,"Apr 26, 2014",T20
KKR,Kings XI,Kings XI,23 runs,Abu Dhabi,"Apr 26, 2014",T20
Daredevils,Mum Indians,Daredevils,6 wickets,Sharjah,"Apr 27, 2014",T20
Sunrisers,Super Kings,Super Kings,5 wickets,Sharjah,"Apr 27, 2014",T20
Kings XI,RCB,Kings XI,5 wickets,Dubai (DSC),"Apr 28, 2014",T20
KKR,Royals,tied,,Abu Dhabi,"Apr 29, 2014",T20
Mum Indians,Sunrisers,Sunrisers,15 runs,Dubai (DSC),"Apr 30, 2014",T20
Super Kings,KKR,Super Kings,34 runs,Ranchi,"May 2, 2014",T20
Mum Indians,Kings XI,Mum Indians,5 wickets,Mumbai,"May 3, 2014",T20
Daredevils,Royals,Royals,7 wickets,Delhi,"May 3, 2014",T20
RCB,Sunrisers,RCB,4 wickets,Bengaluru,"May 4, 2014",T20
Royals,KKR,Royals,10 runs,Ahmedabad,"May 5, 2014",T20
Daredevils,Super Kings,Super Kings,8 wickets,Delhi,"May 5, 2014",T20
Mum Indians,RCB,Mum Indians,19 runs,Mumbai,"May 6, 2014",T20
Daredevils,KKR,KKR,8 wickets,Delhi,"May 7, 2014",T20
Kings XI,Super Kings,Kings XI,44 runs,Cuttack,"May 7, 2014",T20
Royals,Sunrisers,Sunrisers,32 runs,Ahmedabad,"May 8, 2014",T20
RCB,Kings XI,Kings XI,32 runs,Bengaluru,"May 9, 2014",T20
Daredevils,Sunrisers,Sunrisers,8 wickets,Delhi,"May 10, 2014",T20
Mum Indians,Super Kings,Super Kings,4 wickets,Mumbai,"May 10, 2014",T20
Kings XI,KKR,KKR,9 wickets,Cuttack,"May 11, 2014",T20
RCB,Royals,Royals,5 wickets,Bengaluru,"May 11, 2014",T20
Sunrisers,Mum Indians,Mum Indians,7 wickets,Hyderabad (Deccan),"May 12, 2014",T20
Super Kings,Royals,Super Kings,5 wickets,Ranchi,"May 13, 2014",T20
RCB,Daredevils,RCB,16 runs,Bengaluru,"May 13, 2014",T20
Sunrisers,Kings XI,Kings XI,6 wickets,Hyderabad (Deccan),"May 14, 2014",T20
KKR,Mum Indians,KKR,6 wickets,Cuttack,"May 14, 2014",T20
Royals,Daredevils,Royals,62 runs,Ahmedabad,"May 15, 2014",T20
Super Kings,RCB,RCB,5 wickets,Ranchi,"May 18, 2014",T20
Sunrisers,KKR,KKR,7 wickets,Hyderabad (Deccan),"May 18, 2014",T20
Royals,Mum Indians,Mum Indians,25 runs,Ahmedabad,"May 19, 2014",T20
Daredevils,Kings XI,Kings XI,4 wickets,Delhi,"May 19, 2014",T20
Sunrisers,RCB,Sunrisers,7 wickets,Hyderabad (Deccan),"May 20, 2014",T20
KKR,Super Kings,KKR,8 wickets,Kolkata,"May 20, 2014",T20
Kings XI,Mum Indians,Mum Indians,7 wickets,Mohali,"May 21, 2014",T20
KKR,RCB,KKR,30 runs,Kolkata,"May 22, 2014",T20
Super Kings,Sunrisers,Sunrisers,6 wickets,Ranchi,"May 22, 2014",T20
Mum Indians,Daredevils,Mum Indians,15 runs,Mumbai,"May 23, 2014",T20
Kings XI,Royals,Kings XI,16 runs,Mohali,"May 23, 2014",T20
RCB,Super Kings,Super Kings,8 wickets,Bengaluru,"May 24, 2014",T20
KKR,Sunrisers,KKR,4 wickets,Kolkata,"May 24, 2014",T20
Kings XI,Daredevils,Kings XI,7 wickets,Mohali,"May 25, 2014",T20
Mum Indians,Royals,Mum Indians,5 wickets,Mumbai,"May 25, 2014",T20
Kings XI,KKR,KKR,28 runs,Kolkata,"May 27-28, 2014",T20
Super Kings,Mum Indians,Super Kings,7 wickets,Mumbai (BS),"May 28, 2014",T20
Super Kings,Kings XI,Kings XI,24 runs,Mumbai,"May 30, 2014",T20
KKR,Kings XI,KKR,3 wickets,Bengaluru,"Jun 1, 2014",T20
