Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
MI,CSK,CSK,1 wicket,Mumbai,"Apr 7, 2018",T20
KXIP,DD,KXIP,6 wickets,Mohali,"Apr 8, 2018",T20
KKR,RCB,KKR,4 wickets,Kolkata,"Apr 8, 2018",T20
SRH,RR,SRH,9 wickets,Hyderabad (Deccan),"Apr 9, 2018",T20
CSK,KKR,CSK,5 wickets,Chennai,"Apr 10, 2018",T20
RR,DD,RR,10 runs,Jaipur,"Apr 11, 2018",T20
SRH,MI,SRH,1 wicket,Hyderabad (Deccan),"Apr 12, 2018",T20
RCB,KXIP,RCB,4 wickets,Bengaluru,"Apr 13, 2018",T20
MI,DD,DD,7 wickets,Mumbai,"Apr 14, 2018",T20
KKR,SRH,SRH,5 wickets,Kolkata,"Apr 14, 2018",T20
RCB,RR,RR,19 runs,Bengaluru,"Apr 15, 2018",T20
KXIP,CSK,KXIP,4 runs,Mohali,"Apr 15, 2018",T20
KKR,DD,KKR,71 runs,Kolkata,"Apr 16, 2018",T20
MI,RCB,MI,46 runs,Mumbai,"Apr 17, 2018",T20
RR,KKR,KKR,7 wickets,Jaipur,"Apr 18, 2018",T20
KXIP,SRH,KXIP,15 runs,Mohali,"Apr 19, 2018",T20
CSK,RR,CSK,64 runs,Pune,"Apr 20, 2018",T20
KKR,KXIP,KXIP,9 wickets,Kolkata,"Apr 21, 2018",T20
RCB,DD,RCB,6 wickets,Bengaluru,"Apr 21, 2018",T20
SRH,CSK,CSK,4 runs,Hyderabad (Deccan),"Apr 22, 2018",T20
RR,MI,RR,3 wickets,Jaipur,"Apr 22, 2018",T20
DD,KXIP,KXIP,4 runs,Delhi,"Apr 23, 2018",T20
MI,SRH,SRH,31 runs,Mumbai,"Apr 24, 2018",T20
RCB,CSK,CSK,5 wickets,Bengaluru,"Apr 25, 2018",T20
SRH,KXIP,SRH,13 runs,Hyderabad (Deccan),"Apr 26, 2018",T20
DD,KKR,DD,55 runs,Delhi,"Apr 27, 2018",T20
CSK,MI,MI,8 wickets,Pune,"Apr 28, 2018",T20
RR,SRH,SRH,11 runs,Jaipur,"Apr 29, 2018",T20
RCB,KKR,KKR,6 wickets,Bengaluru,"Apr 29, 2018",T20
CSK,DD,CSK,13 runs,Pune,"Apr 30, 2018",T20
RCB,MI,RCB,14 runs,Bengaluru,"May 1, 2018",T20
DD,RR,DD,4 runs,Delhi,"May 2, 2018",T20
KKR,CSK,KKR,6 wickets,Kolkata,"May 3, 2018",T20
KXIP,MI,MI,6 wickets,Indore,"May 4, 2018",T20
CSK,RCB,CSK,6 wickets,Pune,"May 5, 2018",T20
SRH,DD,SRH,7 wickets,Hyderabad (Deccan),"May 5, 2018",T20
MI,KKR,MI,13 runs,Mumbai,"May 6, 2018",T20
KXIP,RR,KXIP,6 wickets,Indore,"May 6, 2018",T20
SRH,RCB,SRH,5 runs,Hyderabad (Deccan),"May 7, 2018",T20
RR,KXIP,RR,15 runs,Jaipur,"May 8, 2018",T20
KKR,MI,MI,102 runs,Kolkata,"May 9, 2018",T20
DD,SRH,SRH,9 wickets,Delhi,"May 10, 2018",T20
RR,CSK,RR,4 wickets,Jaipur,"May 11, 2018",T20
KXIP,KKR,KKR,31 runs,Indore,"May 12, 2018",T20
DD,RCB,RCB,5 wickets,Delhi,"May 12, 2018",T20
CSK,SRH,CSK,8 wickets,Pune,"May 13, 2018",T20
MI,RR,RR,7 wickets,Mumbai,"May 13, 2018",T20
KXIP,RCB,RCB,10 wickets,Indore,"May 14, 2018",T20
KKR,RR,KKR,6 wickets,Kolkata,"May 15, 2018",T20
MI,KXIP,MI,3 runs,Mumbai,"May 16, 2018",T20
RCB,SRH,RCB,14 runs,Bengaluru,"May 17, 2018",T20
DD,CSK,DD,34 runs,Delhi,"May 18, 2018",T20
RR,RCB,RR,30 runs,Jaipur,"May 19, 2018",T20
SRH,KKR,KKR,5 wickets,Hyderabad (Deccan),"May 19, 2018",T20
DD,MI,DD,11 runs,Delhi,"May 20, 2018",T20
CSK,KXIP,CSK,5 wickets,Pune,"May 20, 2018",T20
SRH,CSK,CSK,2 wickets,Mumbai,"May 22, 2018",T20
KKR,RR,KKR,25 runs,Kolkata,"May 23, 2018",T20
KKR,SRH,SRH,14 runs,Kolkata,"May 25, 2018",T20
CSK,SRH,CSK,8 wickets,Mumbai,"May 27, 2018",T20
